AdditionalInfo,Address,City,CountryId,Email,Id,Latitude,Longitude,Phone,Phone2,Phone3,Point,StateProvinceId,StoreId,StoreLocatorName,ZipCode,TradingMonFri,TradingSat,TradingSunPub
NULL,86 Hibernia Street George  ,George,73,NULL,0205,-33.95920482,22.45799055,043 054 0412,,,George,84,Lewis Stores,George,6530,08:00 - 17:00,08:00 - 13:00,CLOSED
NULL,"Shop 7, Ratsoma Shp Cntr The farm Battle 519 KS Tshehlwaneng Village Magnet Heights",Magnet Heights,73,NULL,1152,-24.790097,29.973827,013 007 9290,,,Magnet Heights,80,Lewis Stores,Magnet Heights,1435,08:00 - 18:00,08:00 - 15:00,CLOSED
